record_id	source_product	source_version	source_path	surface_family	surface_type	surface_name	route_or_command	current_authority_type	current_Pepper_owner	equivalent_Pepper_surface	data_or_state_read	data_or_state_written	credential_interaction	provider_interaction	filesystem_interaction	process_interaction	network_interaction	approval_interaction	update_interaction	deployment_interaction	risk_classification	overlap_classification	disposition	required_backend_contract	required_security_boundary	required_approval_boundary	required_redaction	required_action	destination_surface	owner_ticket	priority	evidence_status	blocker	acceptance_criteria	notes
TUI_008	Hermes TUI	0.19.0	2_products/pepper-agent/ui-tui/src/app/slash/commands/ops.ts:580-762	skills	TUI_action	TUI skills plugins tools overlays	/skills /plugins /tools	future_client_candidate	Pepper security authority	future inventory client	skills plugins tools inventory	enable reload possible	none	none	filesystem plugin access possible	code loading possible	gateway RPC	approval required for mutation	none	none	plugin_or_code_loading	unsafe_capability_overlap	defer_pending_security_review	inventory-only API contract required	capability review required	Pepper approval for mutations	redact local paths	defer extension controls	TUI extension client	P15.M18	deferred	static_evidence_path_line	extension security review missing	No plugin or tool mutation authority	Read-only catalog possible.
TUI_009	Hermes TUI	0.19.0	2_products/pepper-agent/ui-tui/src/gatewayClient.ts:345-548	connection_management	WebSocket_dependent_surface	TUI gateway attach and spawn	gateway attach or spawn	future_client_candidate	Pepper P14 runtime authority	future connection client	gateway connection state	spawn attach lifecycle	none	none	none	process spawn possible	WebSocket or local gateway connection	none	none	none	process_control	backend_contract_overlap	future_governed_TUI_client	connection attach contract required	no uncontrolled local process spawn	not_applicable	redact connection errors	defer connection client	TUI connection	P15.M15	high	static_evidence_path_line	connection contract missing	Attach only via governed backend later	No runtime start authorized.
DESK_001	Hermes Desktop	0.19.0	2_products/pepper-agent/apps/desktop/electron/preload.ts:3-267	shell	desktop_native_surface	Desktop native bridge	hermesDesktop IPC	future_client_candidate	Pepper P13 UI authority	future Desktop client shell	connection window profile filesystem git terminal APIs	IPC writes to native capabilities	OAuth and token APIs	provider through backend	filesystem APIs	process and terminal APIs	network connection APIs	approval possible	update APIs	deployment none	process_control	complementary_surface	future_governed_Desktop_client	Desktop capability API contract required	IPC capability audit and allowlist required	Pepper approval API only	redact paths and tokens	design governed Desktop bridge	Desktop client	P15.M11	high	static_evidence_path_line	Desktop capability contract missing	Desktop remains disabled	Bridge is useful only behind gates.
DESK_002	Hermes Desktop	0.19.0	2_products/pepper-agent/apps/desktop/electron/main.ts:7745-7796	connection_management	desktop_native_surface	Desktop local and remote backend connection	hermes:connection	future_client_candidate	Pepper P14 runtime authority	future connection surface	backend connection and health	connection cache reset	token possible	provider backend possible	none	local backend process possible	network backend health	approval possible	none	none	process_control	backend_contract_overlap	future_governed_Desktop_client	local remote backend contract required	profile isolation required	approval for connection trust	redact remote tokens	defer connection model	Desktop connection	P15.M11	high	static_evidence_path_line	local backend governance missing	No direct backend control authority	Remote liveness pattern useful.
DESK_003	Hermes Desktop	0.19.0	2_products/pepper-agent/apps/desktop/src/store/profile.ts:143-306	profiles	desktop_native_surface	Desktop profiles	profile store	future_client_candidate	Pepper P15 provider authority	future profile UX	profile names and active backend	profile switching and persistence	credential refs possible	provider profile interaction	filesystem persistence possible	backend pool process possible	network backend possible	none	none	none	credential_interaction	backend_contract_overlap	replace_with_Pepper_owned_implementation	Pepper profile state contract required	profile isolation and token separation required	not_applicable	redact profile secrets	replace with Pepper-owned profile model	P15 profiles	P15.M12	high	static_evidence_path_line	profile state authority split	Use as UX reference only	No shared writable state.
DESK_004	Hermes Desktop	0.19.0	2_products/pepper-agent/apps/desktop/electron/main.ts:8421-8462	notifications	notification_surface	Desktop native notifications	hermes:notify	future_client_candidate	Pepper P13 UI authority	future notification surface	notification payloads	native notification dispatch	none	none	none	none	OS notification channel	approval possible	none	none	bounded_state_change	complementary_surface	selectively_forward_port	notification projection contract required	no secret payloads in native notifications	approval for actionable notifications	redact sensitive content	queue notification pattern	Pepper notification surface	P15.M11	medium	static_evidence_path_line	notification policy missing	Accepted as pattern only	No Desktop enablement.
DESK_005	Hermes Desktop	0.19.0	2_products/pepper-agent/apps/desktop/electron/main.ts:8896-9009	files	desktop_native_surface	Desktop filesystem and Git IPC	hermes:fs and hermes:git	future_client_candidate	Pepper backend artifact authority	bounded artifact projection	filesystem and Git state	rename write trash worktree commit push PR	none	none	filesystem read write	Git process interaction possible	none	approval required for writes	none	none	filesystem_write	unsafe_capability_overlap	reject_unsafe_capability	allowlisted filesystem and Git contract required	path containment and repository policy required	Pepper approval for writes and Git actions	redact credentials paths	reject direct IPC authority	future artifact client	P15.M11	critical	static_evidence_path_line	filesystem and Git authority missing	No direct filesystem or Git authority	Desktop remains disabled.
DESK_006	Hermes Desktop	0.19.0	2_products/pepper-agent/apps/desktop/electron/preload.ts:140-159	terminal	desktop_native_surface	Desktop terminal IPC	hermes:terminal:start/write	future_client_candidate	Pepper P14 runtime authority	future terminal client	terminal state and CWD	terminal input and lifecycle	none	none	working directory access	PTY process control	none	approval required for shell	none	none	terminal_or_PTY	unsafe_capability_overlap	reject_unsafe_capability	PTY containment contract required	no host shell access without policy	Pepper approval for terminal actions	redact terminal output when required	reject direct terminal IPC	future terminal client	P15.M11	critical	static_evidence_path_line	terminal governance missing	Terminal unauthorized	No PTY authority.
DESK_007	Hermes Desktop	0.19.0	2_products/pepper-agent/apps/desktop/src/contrib/runtime-loader.ts:1-27	plugins	desktop_native_surface	Desktop runtime plugin loader	desktop plugin import	future_client_candidate	Pepper security authority	future plugin governance	plugin source and metadata	plugin registration and execution	none	none	disk plugin source	full renderer code execution	network possible via plugin	none	none	none	plugin_or_code_loading	unsafe_capability_overlap	defer_pending_security_review	plugin sandbox contract required	capability sandbox and provenance required	Pepper approval for plugin activation	redact local paths	reject as-is and defer	future plugin surface	P15.M18	critical	static_evidence_path_line	loader explicitly not sandboxed	Cannot reuse as capability boundary	Security comment is binding evidence.
DESK_008	Hermes Desktop	0.19.0	2_products/pepper-agent/apps/desktop/electron/main.ts:9184-9208	updates	update_surface	Desktop native updater	hermes:updates:check/apply	future_client_candidate	P15.M17 and P15.M18 updater authority	future update status surface	update status and branch	apply update and branch set	none	none	filesystem update writes	process restart possible	network update source	approval required for apply	update execution	none	update_execution	authority_conflict	reject_authority_conflict	governed updater transaction required	signing rollback and audit required	Pepper approval for update apply	redact update logs	reject native updater authority	future update status	P15.M18	critical	static_evidence_path_line	updater authority pending	Native updater non-authoritative	Status reference only.
DESK_009	Hermes Desktop	0.19.0	2_products/pepper-agent/apps/desktop/electron/main.ts:9480-9547	connection_management	desktop_native_surface	Desktop protocol handlers and deep links	deep link handler	future_client_candidate	Pepper backend state authority	future Desktop client routing	deep link payloads	navigation or session open possible	tokens possible in links	none	none	none	OS protocol event	approval possible	none	none	credential_interaction	backend_contract_overlap	defer_pending_security_review	deep link validation contract required	protocol allowlist and token redaction required	approval for privileged link actions	redact tokens	defer protocol handlers	Desktop client	P15.M11	medium	static_evidence_path_line	protocol security review missing	No protocol authority now	Future local client input.
DESK_010	Hermes Desktop	0.19.0	2_products/pepper-agent/apps/desktop/electron/main.ts:9257-9289	installation	desktop_native_surface	Desktop uninstall and installer lifecycle	uninstall summary and actions	future_client_candidate	Pepper update authority	future distribution surface	install state and user data summary	uninstall actions possible	none	none	filesystem removal possible	process execution possible	none	approval required for uninstall	update adjacent	none	update_execution	authority_conflict	defer_pending_security_review	distribution lifecycle contract required	rollback and signing required	Pepper approval for destructive lifecycle	redact paths	defer installer lifecycle	Desktop distribution	P15.M19	deferred	static_evidence_path_line	distribution governance missing	No public binary distribution authority	Reference only.
WS_001	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/components/workspace-shell.tsx:94-180	shell	Workspace_route	Workspace shell and mobile navigation	/dashboard /chat /files /terminal /jobs /swarm /memory /skills /mcp /profiles /settings	future_adjacent_surface_candidate	Pepper P13 shell	P13 shell and navigation	pathname tab map and auth status	client shell state	none	none	none	none	fetch auth and connection status	none	none	none	read_only_low_risk	complementary_surface	future_adjacent_Workspace_surface	adjacent service shell contract required	Workspace cannot own /agent-platform namespace	not_applicable	redact connection details	reference shell patterns only	Workspace adjacent surface	P15.M14	medium	static_evidence_path_line	adjacent service boundary missing	Workspace shell replacement rejected	Source remains ignored.
WS_002	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/dashboard.tsx:1-13	runtime_overview	Workspace_route	Workspace dashboard	/dashboard	future_adjacent_surface_candidate	Pepper P13 Runtime Overview	P13 Runtime Overview	dashboard status and metrics	none	none	none	none	none	Workspace APIs	none	none	none	read_only_low_risk	richer_upstream_reference	selectively_forward_port	read-only runtime dashboard projection required	adjacent service must not own runtime authority	not_applicable	redact backend internals	queue dashboard freshness pattern	P13 Runtime Overview	P15.M7	medium	static_evidence_path_line	projection contract missing	Reference or selected pattern only	No source import.
WS_003	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/api/send-stream.ts:283-396	chat	Workspace_service_surface	Workspace chat streaming	/api/send-stream	future_adjacent_surface_candidate	Pepper P14 runtime authority	future governed chat	chat messages and capabilities	streaming session state	credential through provider possible	provider interaction	none	none	SSE and gateway APIs	approval needed for tool actions	none	none	provider_interaction	backend_contract_overlap	backend_adapter_required	chat streaming adapter contract required	tool event and prompt redaction required	Pepper approval for tool actions	redact tool internals	defer chat streaming	future governed chat	P15.M7	high	static_evidence_path_line	provider runtime contract missing	No Workspace execution	Streaming patterns useful only behind adapter.
WS_004	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/api/sessions.ts:27-147	sessions	Workspace_service_surface	Workspace sessions API	/api/sessions	future_adjacent_surface_candidate	Pepper backend state authority	P13 Projects and Execution Inspector	sessions from gateway and local portable state	local session merge state	none	none	local filesystem possible	none	gateway and local APIs	none	none	none	bounded_state_change	partial_overlap	future_adjacent_Workspace_surface	session projection contract required	no authoritative client session store	not_applicable	redact transcripts	reference session merge pattern	Workspace sessions	P15.M14	medium	static_evidence_path_line	state authority split	Client sessions non-authoritative	Reference only.
WS_005	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/files.tsx:19-80	files	Workspace_route	Workspace files route	/files	future_adjacent_surface_candidate	Pepper backend artifact authority	bounded artifact projection	file tree and editor reference	insert reference local state	none	none	filesystem read write possible	none	files API	none	none	none	filesystem_write	unsafe_capability_overlap	reject_unsafe_capability	allowlisted artifact API required	path containment and credential path exclusion required	approval for writes	redact credential paths	reject direct file surface	bounded artifact browser	P15.M7	high	static_evidence_path_line	path containment contract missing	Workspace files unauthorized until containment	No source import.
WS_006	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/terminal.tsx:1-40	terminal	Workspace_route	Workspace terminal	/terminal	future_adjacent_surface_candidate	Pepper P14 runtime authority	future terminal client	terminal sessions and state	terminal input and lifecycle	none	none	working directory access	PTY process control	SSE terminal stream	approval required for shell	none	none	terminal_or_PTY	unsafe_capability_overlap	reject_unsafe_capability	PTY containment contract required	host shell prohibited	Pepper approval for shell commands	redact terminal output when required	reject terminal authority	future terminal client	P15.M7	critical	static_evidence_path_line	terminal governance missing	Workspace terminal unauthorized	No execution authorized.
WS_007	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/jobs.tsx:1-22	jobs	Workspace_route	Workspace jobs	/jobs	future_adjacent_surface_candidate	Pepper P14 runtime authority	future jobs surface	job status and backend feature gates	job mutation possible	none	none	none	job execution possible	jobs API	approval required for job mutation	none	none	runtime_control	backend_contract_overlap	backend_adapter_required	job API contract required	feature gate and audit required	Pepper approval for job mutation	redact job internals	defer jobs surface	P13 execution/jobs	P15.M7	high	static_evidence_path_line	job contract missing	Jobs require backend adapter	Reference only.
WS_008	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/tasks.tsx:1-19	tasks	Workspace_route	Workspace tasks Kanban	/tasks	future_adjacent_surface_candidate	Pepper P13 Projects	P13 Projects and Tickets	task list and filters	task create update delete possible	none	none	none	none	tasks API	approval possible	none	none	bounded_state_change	partial_overlap	reference_only	P13 project task projection contract	no Workspace task truth	not_applicable	redact unauthorized task details	reference Kanban patterns	P13 Projects	P15.M16	medium	static_evidence_path_line	P13 task truth remains canonical	Use for P13 UX enhancement only	No authority transfer.
WS_009	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/operations.tsx:1-41	operations	Workspace_route	Workspace operations	/operations	future_adjacent_surface_candidate	Pepper P14_runtime_authority	future operations projection	operation and agent profile state	operation mutation possible	none	none	none	agent operation control	operations API	approval required for operations	none	none	multi_agent_control	backend_contract_overlap	backend_adapter_required	operations API contract required	agent capability audit required	Pepper approval for operation mutation	redact operation internals	defer operations surface	future operations	P15.M7	high	static_evidence_path_line	operations contract missing	No direct operations mutation	Adjacent value only.
WS_010	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/components/agent-view/agent-view-panel.tsx:1206-1213	agents	Workspace_route	Workspace agent view	agent-view panel	future_adjacent_surface_candidate	Pepper backend state authority	future agent projection	agent state and CLI agent reference	possible missing API state	none	none	none	agent control possible	/api/cli-agents referenced	none	none	none	multi_agent_control	backend_contract_overlap	reference_only	agent projection contract required	server API completeness required	Pepper approval for agent actions	redact agent internals	reference only	future agent view	P15.M14	low	static_evidence_path_line	matching route not found	Treat as incomplete reference	No agent authority.
WS_011	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/swarm.tsx:1-41	swarm	Workspace_route	Workspace swarm	/swarm	future_adjacent_surface_candidate	Pepper P14 runtime authority	future multi-agent projection	swarm state and workers	swarm control possible	none	none	none	agent or swarm process control	Swarm APIs	approval required for swarm control	none	none	multi_agent_control	authority_conflict	reject_authority_conflict	swarm contract required	multi-agent capability governance required	Pepper approval for swarm actions	redact agent internals	reject swarm control	future swarm reference	P15.M7	critical	static_evidence_path_line	multi-agent authority missing	Workspace swarm unauthorized	Reference only.
WS_012	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/memory.tsx	memory	Workspace_route	Workspace memory	/memory	future_adjacent_surface_candidate	Pepper P14 runtime authority	future memory projection	memory and knowledge files	memory mutation possible	none	none	filesystem read write possible	none	memory API	none	none	none	filesystem_write	backend_contract_overlap	defer_pending_runtime_governance	memory projection contract required	path and privacy containment required	approval for writes	redact private memory	defer memory surface	future memory surface	P15.M7	medium	static_evidence_path_line	memory authority pending	No direct memory mutation	Reference only.
WS_013	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/skills.tsx	skills	Workspace_route	Workspace skills	/skills	future_adjacent_surface_candidate	Pepper security authority	future skills projection	skill inventory and toggles	skill install toggle possible	none	none	filesystem writes possible	code or prompt loading possible	skills API	approval required for mutation	none	none	plugin_or_code_loading	unsafe_capability_overlap	defer_pending_security_review	skills catalog contract required	license provenance review required	Pepper approval for skill mutation	redact local paths	defer skills surface	future skills	P15.M7	medium	static_evidence_path_line	skill security review pending	Listing/toggle only after governance	No install authority.
WS_014	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/mcp.tsx	MCP	Workspace_route	Workspace MCP	/mcp	future_adjacent_surface_candidate	Pepper P14 runtime authority	future MCP projection	MCP servers and capabilities	MCP add test configure possible	auth settings possible	provider adjacent interaction	none	MCP stdio or network control	MCP APIs	approval required for mutation	none	none	plugin_or_code_loading	backend_contract_overlap	defer_pending_runtime_governance	MCP capability contract required	MCP auth and stdio containment required	Pepper approval for MCP mutation	redact auth values	defer MCP surface	future MCP	P15.M7	high	static_evidence_path_line	MCP governance missing	Reference only	No direct MCP mutation.
WS_015	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/profiles.tsx	profiles	Workspace_route	Workspace profiles	/profiles	future_adjacent_surface_candidate	Pepper P15 provider authority	future profile UX	profile list and browser state	profile changes possible	credential refs possible	provider profile interaction	filesystem profile storage possible	none	profile APIs	none	none	none	credential_interaction	backend_contract_overlap	replace_with_Pepper_owned_implementation	Pepper profile contract required	profile isolation required	not_applicable	redact credential references	replace profile semantics	P15 profiles	P15.M8	high	static_evidence_path_line	profile state authority split	Workspace profiles not authoritative	UX reference only.
WS_016	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/settings.tsx:1-8	providers	Workspace_route	Workspace settings providers	/settings	future_adjacent_surface_candidate	Pepper P15 provider authority	P13 Safe Settings and P15 provider surfaces	settings and provider config	provider endpoint override possible	credential refs possible	provider interaction	config filesystem write possible	none	settings APIs	none	none	none	provider_interaction	backend_contract_overlap	defer_pending_provider_governance	provider settings contract required	no provider secret exposure	not_applicable	redact endpoints and secrets	defer settings providers	P15 provider surface	P15.M8	high	static_evidence_path_line	provider governance pending	No provider settings imported	Reference only.
WS_017	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/server/auth-middleware.ts:13-30	authentication	Workspace_service_surface	Workspace auth session store	workspace-sessions.json	future_adjacent_surface_candidate	Pepper P15 credential authority	future auth projection	session tokens and auth status	persistent token store	credential token storage	none	filesystem credential store	none	HTTP auth checks	approval possible	none	none	credential_interaction	authority_conflict	replace_with_Pepper_owned_implementation	Pepper auth contract required	no Workspace credential store authority	Pepper approval for trust changes	never expose tokens	reject Workspace auth as authority	P15 credential boundary	P15.M8	critical	static_evidence_path_line	independent session store conflicts with Pepper	Workspace auth cannot be reused as truth	Reference only.
WS_018	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/server/gateway-capabilities.ts:1-17	connection_management	Workspace_service_surface	Workspace gateway capability probing	gateway and dashboard probes	future_adjacent_surface_candidate	Pepper P14 runtime authority	future connection status	gateway dashboard capability map	runtime URL override possible	none	none	override file writes possible	none	network probes	none	none	none	bounded_state_change	richer_upstream_reference	selectively_forward_port	capability projection contract required	no runtime override authority without governance	not_applicable	redact URLs when needed	queue capability presentation	P13 Runtime Overview	P15.M7	medium	static_evidence_path_line	runtime override authority pending	Read-only capability map is valuable	Runtime URL mutation deferred.
WS_019	Hermes Workspace	2.3.0	4_external/sources/hermes-workspace-v2.3.0/docker-compose.yml:15-112	deployment	Workspace_service_surface	Workspace Compose deployment	docker-compose.yml	future_adjacent_surface_candidate	Pepper deployment authority	future deployment status	container image volume env port configuration	deployment actions possible	provider secret env refs	provider env interaction	volumes and host paths	container process control	network ports and services	approval required for deployment	none	Compose deployment	deployment_control	backend_contract_overlap	defer_pending_deployment_review	deployment status projection contract required	image pinning secrets and volume policy required	Pepper approval for deployment	redact env and secrets	defer deployment surface	deployment status	P15.M10	deferred	static_evidence_path_line	deployment governance missing	No Docker or Compose execution authorized	Reference only.
BOUND_001	Integrated boundary	P15.M5	0_architecture/governance/agent_platform_hermes_0_19_interaction_surface_manifest.tsv	approvals	not_applicable	Approval authority closure	all approval-capable clients	Pepper_approval_authority	Pepper P13 Approval Inbox	P13 Approval Inbox	approval request identity	approval decision storage	none	none	none	none	backend API only	canonical approval path	none	none	approval_required_state_change	Pepper_governed_superset	retain_current_authority	approval request response audit contract	client cache non-authoritative	Pepper approval boundary	redact operation detail by permission	require all clients to call backend approval API	P13 Approval Inbox	P15.M5	critical	governance_classification	none	No approval bypass or local authoritative approval	CLI TUI Desktop Workspace may be API clients only.
BOUND_002	Integrated boundary	P15.M5	0_architecture/governance/agent_platform_hermes_0_19_interaction_surface_manifest.tsv	execution_inspection	not_applicable	Execution authority closure	all execution surfaces	Pepper_P14_runtime_authority	Pepper P14 backend	P13 Execution Inspector	execution projections	none	none	none	none	client process handles prohibited	backend API only	approval for execution mutations	none	none	runtime_control	Pepper_governed_superset	retain_current_authority	P14 execution identity contract	no client PID shell worker launch authority	Pepper approval for execution state changes	withhold raw internal content	preserve backend-only execution authority	P14 runtime	P15.M7	critical	governance_classification	none	No direct worker agent swarm launch	Client state is read-only projection.
BOUND_003	Integrated boundary	P15.M5	0_architecture/governance/agent_platform_hermes_0_19_interaction_surface_manifest.tsv	providers	not_applicable	Provider authority closure	all provider surfaces	Pepper_P15_provider_authority	Pepper P15 backend	P15 provider profiles	provider status and profile projection	provider setting changes only through backend	none	provider interaction	none	none	backend API only	approval possible	none	none	provider_interaction	Pepper_governed_superset	retain_current_authority	provider profile contract	no client endpoint override by default	approval for provider changes	redact provider secrets	defer provider UIs pending P15.M8	P15 provider surface	P15.M8	critical	governance_classification	none	No live provider operation authorized	Status can be redacted projection later.
BOUND_004	Integrated boundary	P15.M5	0_architecture/governance/agent_platform_hermes_0_19_interaction_surface_manifest.tsv	credentials	not_applicable	Credential authority closure	all credential surfaces	Pepper_P15_credential_authority	Pepper secure backend boundary	P15 credential boundary	credential status only	credential writes only through backend	credential interaction	none	none	none	backend API only	approval for trust changes	none	none	credential_interaction	Pepper_governed_superset	retain_current_authority	credential storage and redaction contract	no client secret storage or value visibility	approval for credential changes	never reveal secret values	defer credential UIs pending P15.M8	P15 credential surface	P15.M8	critical	governance_classification	none	No OAuth token storage without separate authority	Client caches non-authoritative.
BOUND_005	Integrated boundary	P15.M5	0_architecture/governance/agent_platform_hermes_0_19_interaction_surface_manifest.tsv	updates	not_applicable	Update authority closure	all update surfaces	Pepper_update_authority	P15.M17 and P15.M18	future update surface	update status	update apply only through governed transaction	none	none	filesystem update writes	process restart possible	backend update source	Pepper approval for update apply	governed update execution	none	update_execution	Pepper_governed_superset	retain_current_authority	updater transaction contract	signing rollback and distribution review	Pepper approval authority	redact update logs	reject native updater execution until P15.M17/M18	future update status	P15.M18	critical	governance_classification	none	Native Hermes updater non-authoritative	Status may be read-only projection.
BOUND_006	Integrated boundary	P15.M5	0_architecture/governance/agent_platform_hermes_0_19_interaction_surface_manifest.tsv	files	not_applicable	Filesystem and terminal closure	files terminals PTY shells	Pepper_P14_runtime_authority	Pepper backend containment	bounded artifacts and terminal clients	files and terminal projections	writes only through backend contracts	none	none	filesystem read write	PTY and shell processes	backend API only	approval for writes and commands	none	none	terminal_or_PTY	unsafe_capability_overlap	reject_unsafe_capability	artifact and PTY containment contracts required	allowlist credential path exclusion Docker socket prohibition	Pepper approval for writes and commands	redact sensitive paths and output	keep terminal unauthorized and files bounded	future artifact terminal surfaces	P15.M7	critical	governance_classification	none	Host root and credential directories prohibited	No direct filesystem or terminal authority.
BOUND_007	Integrated boundary	P15.M5	0_architecture/governance/agent_platform_hermes_0_19_interaction_surface_manifest.tsv	deployment	not_applicable	Shared state and deployment closure	Workspace Desktop deployment state	Pepper_P14_runtime_authority	Pepper backend state authority	future deployment status	state projections only	state mutation only through backend	credential refs possible	provider refs possible	volumes possible	container process possible	network service exposure	approval for exposure	none	deployment control	deployment_control	backend_contract_overlap	defer_pending_deployment_review	deployment status contract required	no shared writable HERMES_HOME credentials or Docker socket	Pepper approval for deployment	redact secrets and endpoints	defer deployment and shared state	deployment status	P15.M10	critical	governance_classification	none	Direct shared state and credentials prohibited	Workspace remains undeployed.
FPQ_001	Forward-port queue	P15.M5	2_products/pepper-agent/web/src/lib/api.ts:3-37	connection_management	API_dependent_surface	Base path and auth-aware API helper	web API helper	upstream_reference_only	Pepper backend API client	future API client infrastructure	base path auth status and API errors	none	cookie or session token handling	none	none	none	HTTP API calls	none	none	none	read_only_low_risk	richer_upstream_reference	selectively_forward_port	request response error contract for API client	no token value exposure	not_applicable	redact auth errors	queue API helper pattern	Pepper client infrastructure	P15.M7	high	static_evidence_path_line	must adapt to Pepper auth boundary	Accepted when tests prove no secret exposure	No immediate source copy authorized.
FPQ_002	Forward-port queue	P15.M5	2_products/pepper-agent/web/src/lib/gatewayClient.ts:38-59	connection_management	WebSocket_dependent_surface	Gateway WebSocket auth helper	gateway WS helper	upstream_reference_only	Pepper P14 runtime authority	future event client	WebSocket endpoint and ticket flow	none	session ticket handling	none	none	none	WebSocket connection	none	none	none	read_only_low_risk	richer_upstream_reference	selectively_forward_port	WebSocket event contract required	short-lived ticket redaction required	not_applicable	redact ticket and URL	queue event-client pattern	Pepper runtime event client	P15.M7	high	static_evidence_path_line	P14 event contract missing	Accepted as pattern after event contract	No gateway start authorized.
FPQ_003	Forward-port queue	P15.M5	4_external/sources/hermes-workspace-v2.3.0/src/server/gateway-capabilities.ts:766-842	status	API_dependent_surface	Workspace capability presentation	capability probe result	future_adjacent_surface_candidate	Pepper P14 runtime authority	P13 Runtime Overview	capability map and freshness	none	none	none	none	none	gateway dashboard probes	none	none	none	read_only_low_risk	richer_upstream_reference	selectively_forward_port	capability response contract	no runtime override writes	not_applicable	redact URLs and unavailable reasons	queue read-only capability cards	P13 Runtime Overview	P15.M7	medium	static_evidence_path_line	capability schema missing	Accept read-only capability map only	No Workspace import.
FPQ_004	Forward-port queue	P15.M5	4_external/sources/hermes-workspace-v2.3.0/src/routes/tasks.tsx:1-19	projects_and_tickets	Workspace_route	Workspace task Kanban presentation	/tasks	future_adjacent_surface_candidate	Pepper P13 Projects	P13 Projects and Tickets	task list filters and board state	none	none	none	none	none	tasks API	none	none	none	read_only_low_risk	partial_overlap	selectively_forward_port	P13 task projection contract	no Workspace task truth	not_applicable	redact unauthorized task details	queue Kanban presentation patterns	P13 Projects	P15.M16	medium	static_evidence_path_line	P13 board schema mapping missing	Accept visual pattern only	No source copy authorized.
FPQ_005	Forward-port queue	P15.M5	2_products/pepper-agent/apps/desktop/electron/main.ts:8421-8462	notifications	notification_surface	Desktop notification pattern	native notifications	future_client_candidate	Pepper P13 UI authority	future notification surface	notification state	native notification dispatch	none	none	none	none	OS notification channel	approval for actions	none	none	bounded_state_change	complementary_surface	selectively_forward_port	notification event contract	no secret payloads	approval for actionable notifications	redact sensitive message content	queue notification pattern	Pepper notification surface	P15.M11	medium	static_evidence_path_line	notification policy missing	Accept after redaction and opt-in criteria	No Desktop enablement.
FPQ_006	Forward-port queue	P15.M5	2_products/pepper-agent/web/src/pages/AnalyticsPage.tsx	usage	web_panel	Dashboard usage presentation	/analytics	upstream_reference_only	Pepper audit authority	future usage projection	usage cost token summaries	none	none	provider cost context	none	none	analytics API	none	none	none	read_only_low_risk	richer_upstream_reference	selectively_forward_port	usage response contract	redacted cost and provider policy	not_applicable	redact provider-specific detail	queue usage cards	P13 Runtime Overview	P15.M8	low	static_evidence_path_line	redaction policy missing	Accept redacted read-only summaries	No provider calls.
FPQ_007	Forward-port queue	P15.M5	2_products/pepper-agent/web/src/pages/LogsPage.tsx	diagnostics	web_panel	Bounded diagnostics presentation	/logs	upstream_reference_only	Pepper audit authority	P13 Execution Inspector	log summaries and health markers	none	none	none	bounded log file reads	none	diagnostics API	none	none	none	filesystem_read	richer_upstream_reference	selectively_forward_port	diagnostics summary contract	log redaction and retention required	not_applicable	redact paths prompts and secrets	queue diagnostics summary	P13 Execution Inspector	P15.M7	medium	static_evidence_path_line	redaction contract missing	Accept summaries not raw logs	No filesystem browser.
FPQ_008	Forward-port queue	P15.M5	2_products/pepper-agent/apps/desktop/electron/main.ts:7745-7796	connection_management	desktop_native_surface	Remote connection liveness UX	hermes:connection:revalidate	future_client_candidate	Pepper P14 runtime authority	future connection status	remote backend health	connection cache reset	token status possible	none	none	none	network health probe	none	none	none	bounded_state_change	richer_upstream_reference	selectively_forward_port	connection status contract	no token persistence in client	not_applicable	redact endpoint tokens	queue connection liveness presentation	Pepper connection surface	P15.M9	medium	static_evidence_path_line	connection topology contract missing	Accept status UX only	No backend process authority.
